,Player,Team,Position
1,Kalyn Ponga,Newcastle Knights,Fullback
2,Dominic Young,Newcastle Knights,Winger
3,Dane Gagai,Newcastle Knights,Centre
4,Bradman Best,Newcastle Knights,Centre
5,Greg Marzhew,Newcastle Knights,Winger
6,Fletcher Sharpe,Newcastle Knights,Five-Eighth
7,Dylan Brown,Newcastle Knights,Halfback
8,Jacob Saifiti,Newcastle Knights,Prop
9,Phoenix Crossland,Newcastle Knights,Hooker
10,Trey Mooney,Newcastle Knights,Prop
11,Dylan Lucas,Newcastle Knights,2nd Row
12,Jermaine McEwen,Newcastle Knights,2nd Row
13,Tyson Frizell,Newcastle Knights,Lock
14,Sandon Smith,Newcastle Knights,Interchange
15,Matt Croker,Newcastle Knights,Interchange
16,Thomas Cant,Newcastle Knights,Interchange
17,Pasami Saulo,Newcastle Knights,Interchange
18,Scott Drinkwater,North Queensland Cowboys,Fullback
19,Braidon Burns,North Queensland Cowboys,Winger
20,Jaxon Purdue,North Queensland Cowboys,Centre
21,Tom Chester,North Queensland Cowboys,Centre
22,Murray Taulagi,North Queensland Cowboys,Winger
23,Jake Clifford,North Queensland Cowboys,Five-Eighth
24,Tom Dearden,North Queensland Cowboys,Halfback
25,Coen Hess,North Queensland Cowboys,Prop
26,Reed Mahoney,North Queensland Cowboys,Hooker
27,Jason Taumalolo,North Queensland Cowboys,Prop
28,Heilum Luki,North Queensland Cowboys,2nd Row
29,Sam McIntyre,North Queensland Cowboys,2nd Row
30,Reuben Cotter,North Queensland Cowboys,Lock
31,Soni Luke,North Queensland Cowboys,Interchange
32,Thomas Mikaele,North Queensland Cowboys,Interchange
33,Harrison Edwards,North Queensland Cowboys,Interchange
34,Kai O'Donnell,North Queensland Cowboys,Interchange
35,Connor Tracey,Canterbury-Bankstown Bulldogs,Fullback
36,Jacob Kiraz,Canterbury-Bankstown Bulldogs,Winger
37,Bronson Xerri,Canterbury-Bankstown Bulldogs,Centre
38,Stephen Crichton,Canterbury-Bankstown Bulldogs,Centre
39,Marcelo Montoya,Canterbury-Bankstown Bulldogs,Winger
40,Matt Burton,Canterbury-Bankstown Bulldogs,Five-Eighth
41,Lachlan Galvin,Canterbury-Bankstown Bulldogs,Halfback
42,Max King,Canterbury-Bankstown Bulldogs,Prop
43,Bailey Hayward,Canterbury-Bankstown Bulldogs,Hooker
44,Samuel Hughes,Canterbury-Bankstown Bulldogs,Prop
45,Viliame Kikau,Canterbury-Bankstown Bulldogs,2nd Row
46,Jacob Preston,Canterbury-Bankstown Bulldogs,2nd Row
47,Jaeman Salmon,Canterbury-Bankstown Bulldogs,Lock
48,Kurt Mann,Canterbury-Bankstown Bulldogs,Interchange
49,Sitili Tupouniua,Canterbury-Bankstown Bulldogs,Interchange
50,Harry Hayes,Canterbury-Bankstown Bulldogs,Interchange
51,Josh Curran,Canterbury-Bankstown Bulldogs,Interchange
52,Clinton Gutherson,St. George Illawarra Dragons,Fullback
53,Christian Tuipulotu,St. George Illawarra Dragons,Winger
54,Moses Suli,St. George Illawarra Dragons,Centre
55,Valentine Holmes,St. George Illawarra Dragons,Centre
56,Setu Tu,St. George Illawarra Dragons,Winger
57,Kyle Flanagan,St. George Illawarra Dragons,Five-Eighth
58,Daniel Atkinson,St. George Illawarra Dragons,Halfback
59,Emre Guler,St. George Illawarra Dragons,Prop
60,Damien Cook,St. George Illawarra Dragons,Hooker
61,Toby Couchman,St. George Illawarra Dragons,Prop
62,Luciano Leilua,St. George Illawarra Dragons,2nd Row
63,Jaydn Su'A,St. George Illawarra Dragons,2nd Row
64,Hamish Stewart,St. George Illawarra Dragons,Lock
65,Hame Sele,St. George Illawarra Dragons,Interchange
66,Josh Kerr,St. George Illawarra Dragons,Interchange
67,Blake Lawrie,St. George Illawarra Dragons,Interchange
68,Ryan Couchman,St. George Illawarra Dragons,Interchange
