Player,Season,Position,Minutes_Band,Total Games played,Games played,ATS,ATS historical odds,FTS,FTS historical odds,LTS,LTS historical odds,FTS2H,FTS2H historical odds,2+,2+ historical odds
Aaron Booth,2020,Lock,Less than 20 mins,1,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Booth,2020,Lock,Over 20 mins,1,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Booth,2020,Lock,Over 30 mins,1,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Booth,2020,Lock,Over 40 mins,1,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Booth,2020,Lock,Over 50 mins,1,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Booth,2020,Lock,Over 60 mins,1,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Booth,2020,Lock,Over 70 mins,1,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Booth,2021,Interchange,Less than 20 mins,5,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Booth,2021,Interchange,Over 20 mins,5,4,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Booth,2021,Interchange,Over 30 mins,5,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Booth,2021,Interchange,Over 40 mins,5,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Booth,2021,Interchange,Over 50 mins,5,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Booth,2021,Interchange,Over 60 mins,5,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Booth,2021,Interchange,Over 70 mins,5,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Booth,2022,Hooker,Less than 20 mins,4,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Booth,2022,Hooker,Over 20 mins,4,3,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Booth,2022,Hooker,Over 30 mins,4,3,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Booth,2022,Hooker,Over 40 mins,4,2,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Booth,2022,Hooker,Over 50 mins,4,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Booth,2022,Hooker,Over 60 mins,4,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Booth,2022,Hooker,Over 70 mins,4,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2020,Interchange,Less than 20 mins,1,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2020,Interchange,Over 20 mins,1,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2020,Interchange,Over 30 mins,1,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2020,Interchange,Over 40 mins,1,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2020,Interchange,Over 50 mins,1,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2020,Interchange,Over 60 mins,1,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2020,Interchange,Over 70 mins,1,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2021,Interchange,Less than 20 mins,9,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2021,Interchange,Over 20 mins,9,8,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2021,Interchange,Over 30 mins,9,6,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2021,Interchange,Over 40 mins,9,3,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2021,Interchange,Over 50 mins,9,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2021,Interchange,Over 60 mins,9,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2021,Interchange,Over 70 mins,9,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2022,Interchange,Less than 20 mins,9,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2022,Interchange,Over 20 mins,9,8,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2022,Interchange,Over 30 mins,9,4,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2022,Interchange,Over 40 mins,9,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2022,Interchange,Over 50 mins,9,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2022,Interchange,Over 60 mins,9,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2022,Interchange,Over 70 mins,9,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2022,Lock,Less than 20 mins,2,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2022,Lock,Over 20 mins,2,2,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2022,Lock,Over 30 mins,2,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2022,Lock,Over 40 mins,2,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2022,Lock,Over 50 mins,2,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2022,Lock,Over 60 mins,2,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2022,Lock,Over 70 mins,2,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2022,Prop,Less than 20 mins,3,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2022,Prop,Over 20 mins,3,2,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2022,Prop,Over 30 mins,3,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2022,Prop,Over 40 mins,3,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2022,Prop,Over 50 mins,3,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2022,Prop,Over 60 mins,3,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2022,Prop,Over 70 mins,3,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2023,Interchange,Less than 20 mins,8,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2023,Interchange,Over 20 mins,8,7,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2023,Interchange,Over 30 mins,8,6,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2023,Interchange,Over 40 mins,8,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2023,Interchange,Over 50 mins,8,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2023,Interchange,Over 60 mins,8,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Pene,2023,Interchange,Over 70 mins,8,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2021,Centre,Less than 20 mins,13,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2021,Centre,Over 20 mins,13,13,3,4.33,0,NA,1,13.00,0,NA,0,NA
Aaron Schoupp,2021,Centre,Over 30 mins,13,13,3,4.33,0,NA,1,13.00,0,NA,0,NA
Aaron Schoupp,2021,Centre,Over 40 mins,13,13,3,4.33,0,NA,1,13.00,0,NA,0,NA
Aaron Schoupp,2021,Centre,Over 50 mins,13,13,3,4.33,0,NA,1,13.00,0,NA,0,NA
Aaron Schoupp,2021,Centre,Over 60 mins,13,13,3,4.33,0,NA,1,13.00,0,NA,0,NA
Aaron Schoupp,2021,Centre,Over 70 mins,13,13,3,4.33,0,NA,1,13.00,0,NA,0,NA
Aaron Schoupp,2022,Centre,Less than 20 mins,17,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2022,Centre,Over 20 mins,17,17,6,2.83,0,NA,0,NA,1,17.00,1,17.00
Aaron Schoupp,2022,Centre,Over 30 mins,17,17,6,2.83,0,NA,0,NA,1,17.00,1,17.00
Aaron Schoupp,2022,Centre,Over 40 mins,17,17,6,2.83,0,NA,0,NA,1,17.00,1,17.00
Aaron Schoupp,2022,Centre,Over 50 mins,17,17,6,2.83,0,NA,0,NA,1,17.00,1,17.00
Aaron Schoupp,2022,Centre,Over 60 mins,17,17,6,2.83,0,NA,0,NA,1,17.00,1,17.00
Aaron Schoupp,2022,Centre,Over 70 mins,17,17,6,2.83,0,NA,0,NA,1,17.00,1,17.00
Aaron Schoupp,2022,Reserve,Less than 20 mins,1,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2022,Reserve,Over 20 mins,1,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2022,Reserve,Over 30 mins,1,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2022,Reserve,Over 40 mins,1,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2022,Reserve,Over 50 mins,1,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2022,Reserve,Over 60 mins,1,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2022,Reserve,Over 70 mins,1,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2022,Winger,Less than 20 mins,1,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2022,Winger,Over 20 mins,1,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2022,Winger,Over 30 mins,1,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2022,Winger,Over 40 mins,1,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2022,Winger,Over 50 mins,1,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2022,Winger,Over 60 mins,1,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2022,Winger,Over 70 mins,1,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2023,Centre,Less than 20 mins,16,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2023,Centre,Over 20 mins,16,16,1,16.00,0,NA,0,NA,0,NA,1,16.00
Aaron Schoupp,2023,Centre,Over 30 mins,16,16,1,16.00,0,NA,0,NA,0,NA,1,16.00
Aaron Schoupp,2023,Centre,Over 40 mins,16,16,1,16.00,0,NA,0,NA,0,NA,1,16.00
Aaron Schoupp,2023,Centre,Over 50 mins,16,16,1,16.00,0,NA,0,NA,0,NA,1,16.00
Aaron Schoupp,2023,Centre,Over 60 mins,16,16,1,16.00,0,NA,0,NA,0,NA,1,16.00
Aaron Schoupp,2023,Centre,Over 70 mins,16,14,1,14.00,0,NA,0,NA,0,NA,1,14.00
Aaron Schoupp,2023,Interchange,Less than 20 mins,1,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2023,Interchange,Over 20 mins,1,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2023,Interchange,Over 30 mins,1,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2023,Interchange,Over 40 mins,1,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2023,Interchange,Over 50 mins,1,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2023,Interchange,Over 60 mins,1,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2023,Interchange,Over 70 mins,1,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2023,Winger,Less than 20 mins,1,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2023,Winger,Over 20 mins,1,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2023,Winger,Over 30 mins,1,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2023,Winger,Over 40 mins,1,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2023,Winger,Over 50 mins,1,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2023,Winger,Over 60 mins,1,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2023,Winger,Over 70 mins,1,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2024,2nd Row,Less than 20 mins,1,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2024,2nd Row,Over 20 mins,1,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2024,2nd Row,Over 30 mins,1,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2024,2nd Row,Over 40 mins,1,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2024,2nd Row,Over 50 mins,1,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2024,2nd Row,Over 60 mins,1,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2024,2nd Row,Over 70 mins,1,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2024,Centre,Less than 20 mins,2,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2024,Centre,Over 20 mins,2,2,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2024,Centre,Over 30 mins,2,2,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2024,Centre,Over 40 mins,2,2,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2024,Centre,Over 50 mins,2,2,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2024,Centre,Over 60 mins,2,2,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2024,Centre,Over 70 mins,2,2,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2025,Interchange,Less than 20 mins,4,2,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2025,Interchange,Over 20 mins,4,2,1,2.00,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2025,Interchange,Over 30 mins,4,1,1,1.00,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2025,Interchange,Over 40 mins,4,1,1,1.00,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2025,Interchange,Over 50 mins,4,1,1,1.00,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2025,Interchange,Over 60 mins,4,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Schoupp,2025,Interchange,Over 70 mins,4,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2020,Interchange,Less than 20 mins,1,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2020,Interchange,Over 20 mins,1,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2020,Interchange,Over 30 mins,1,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2020,Interchange,Over 40 mins,1,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2020,Interchange,Over 50 mins,1,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2020,Interchange,Over 60 mins,1,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2020,Interchange,Over 70 mins,1,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2020,Prop,Less than 20 mins,20,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2020,Prop,Over 20 mins,20,20,1,20.00,0,NA,0,NA,1,20.00,0,NA
Aaron Woods,2020,Prop,Over 30 mins,20,20,1,20.00,0,NA,0,NA,1,20.00,0,NA
Aaron Woods,2020,Prop,Over 40 mins,20,19,1,19.00,0,NA,0,NA,1,19.00,0,NA
Aaron Woods,2020,Prop,Over 50 mins,20,13,1,13.00,0,NA,0,NA,1,13.00,0,NA
Aaron Woods,2020,Prop,Over 60 mins,20,3,1,3.00,0,NA,0,NA,1,3.00,0,NA
Aaron Woods,2020,Prop,Over 70 mins,20,1,1,1.00,0,NA,0,NA,1,1.00,0,NA
Aaron Woods,2021,Prop,Less than 20 mins,24,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2021,Prop,Over 20 mins,24,24,3,8.00,0,NA,1,24.00,1,24.00,1,24.00
Aaron Woods,2021,Prop,Over 30 mins,24,24,3,8.00,0,NA,1,24.00,1,24.00,1,24.00
Aaron Woods,2021,Prop,Over 40 mins,24,23,3,7.67,0,NA,1,23.00,1,23.00,1,23.00
Aaron Woods,2021,Prop,Over 50 mins,24,9,1,9.00,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2021,Prop,Over 60 mins,24,2,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2021,Prop,Over 70 mins,24,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2022,Interchange,Less than 20 mins,17,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2022,Interchange,Over 20 mins,17,16,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2022,Interchange,Over 30 mins,17,14,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2022,Interchange,Over 40 mins,17,6,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2022,Interchange,Over 50 mins,17,2,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2022,Interchange,Over 60 mins,17,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2022,Interchange,Over 70 mins,17,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2022,Prop,Less than 20 mins,2,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2022,Prop,Over 20 mins,2,2,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2022,Prop,Over 30 mins,2,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2022,Prop,Over 40 mins,2,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2022,Prop,Over 50 mins,2,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2022,Prop,Over 60 mins,2,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2022,Prop,Over 70 mins,2,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2023,Interchange,Less than 20 mins,14,2,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2023,Interchange,Over 20 mins,14,12,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2023,Interchange,Over 30 mins,14,8,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2023,Interchange,Over 40 mins,14,2,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2023,Interchange,Over 50 mins,14,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2023,Interchange,Over 60 mins,14,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2023,Interchange,Over 70 mins,14,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2023,Lock,Less than 20 mins,1,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2023,Lock,Over 20 mins,1,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2023,Lock,Over 30 mins,1,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2023,Lock,Over 40 mins,1,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2023,Lock,Over 50 mins,1,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2023,Lock,Over 60 mins,1,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2023,Lock,Over 70 mins,1,0,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2024,Interchange,Less than 20 mins,2,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2024,Interchange,Over 20 mins,2,1,0,NA,0,NA,0,NA,0,NA,0,NA
Aaron Woods,2024,Interchange,Over 30 mins,2,0,0,NA,0,NA,0,NA,0,NA,0,NA
